collection;xcoord;ycoord
15235;935422.063579165;6730663.5516718
15256;662143.062821035;6889713.09240872
15403;656083.653404628;6856767.55412624
15443;310274.022981716;6780138.41454577
15443;310274.022981716;6780138.41454577
15458;939618.681067232;6558223.89619162
15567;931689.777918875;6589734.65763619
15819;941576.02871609;6557469.4509879
16056;882926.20534813;6566212.62879683
16452;349453.740509648;6797535.50820468
16694;868614.521887999;6477938.10429648
16696;354080.384295266;6801244.88612097
16696;354080.384295266;6801244.88612097
16696;354080.384295266;6801244.88612097
16696;354080.384295266;6801244.88612097
16696;354080.384295266;6801244.88612097
16696;354080.384295266;6801244.88612097
16696;354080.384295266;6801244.88612097
16696;354080.384295266;6801244.88612097
16696;354080.384295266;6801244.88612097
16696;354080.384295266;6801244.88612097
19657;935489.241952838;6565404.94154184
20404;639135.544707983;6844761.3079378
101;351554.365026266;6800660.18872179
20781;1042662.28322451;6325218.49774766
