collection;xcoord;ycoord
5837;813301.176193376;6325108.10191715
5837;813301.176193376;6325108.10191715
5837;813301.176193376;6325108.10191715
5837;813301.176193376;6325108.10191715
5837;813301.176193376;6325108.10191715
5837;813301.176193376;6325108.10191715
57604;381198.471290432;6401683.91958449
5837;813301.176193376;6325108.10191715
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5837;813301.176193376;6325108.10191715
5839;827518.849442508;6403580.46555214
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5839;827518.849442508;6403580.46555214
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5839;827518.849442508;6403580.46555214
5825;1020446.93985919;6714351.02585263
5839;827518.849442508;6403580.46555214
5825;1020446.93985919;6714351.02585263
5825;1020446.93985919;6714351.02585263
5826;1020561.28497146;6713956.04396894
5826;1020561.28497146;6713956.04396894
5839;827518.849442508;6403580.46555214
5826;1020561.28497146;6713956.04396894
5826;1020561.28497146;6713956.04396894
5826;1020561.28497146;6713956.04396894
5826;1020561.28497146;6713956.04396894
5826;1020561.28497146;6713956.04396894
5839;827518.849442508;6403580.46555214
5826;1020561.28497146;6713956.04396894
5839;827518.849442508;6403580.46555214
5826;1020561.28497146;6713956.04396894
2769;609868.482353175;6891796.81950789
2579;818866.265800275;6440704.1243855
2579;818866.265800275;6440704.1243855
2579;818866.265800275;6440704.1243855
2581;619184.986375751;6881124.09799184
2595;934629.979041983;6576998.50381617
2641;351610.331376243;6800789.56322675
2641;351610.331376243;6800789.56322675
2641;351610.331376243;6800789.56322675
2769;609868.482353175;6891796.81950789
2641;351610.331376243;6800789.56322675
2682;636464.396278218;6686932.39452676
2713;818982.220309414;6440924.39497731
2713;818982.220309414;6440924.39497731
2716;355734.210537559;6797371.4813384
2716;355734.210537559;6797371.4813384
2738;355570.96176983;6797400.1892126
2738;355570.96176983;6797400.1892126
2782;256024.034002496;6791405.65432112
2788;632897.604366856;6853160.81910606
2803;456245.395826054;6237468.85687285
2803;456245.395826054;6237468.85687285
2803;456245.395826054;6237468.85687285
2817;931679.710801428;6589707.56409189
2830;635821.53511473;6686509.50473768
20843;738779.100227687;6246396.63858704
2853;814678.999011906;6325519.6019844
2853;814678.999011906;6325519.6019844
2853;814678.999011906;6325519.6019844
2857;1190580.63884765;6080477.08428066
2857;1190580.63884765;6080477.08428066
2857;1190580.63884765;6080477.08428066
2894;351531.961509976;6800680.00784842
2908;581359.444257496;6438985.00761556
2908;581359.444257496;6438985.00761556
2908;581359.444257496;6438985.00761556
2908;581359.444257496;6438985.00761556
2908;581359.444257496;6438985.00761556
2908;581359.444257496;6438985.00761556
2914;938934.847315759;6562991.3054009
2922;655062.585649875;6854737.50145562
2922;655062.585649875;6854737.50145562
2922;655062.585649875;6854737.50145562
2924;619141.205010256;6881317.98046623
2924;619141.205010256;6881317.98046623
2924;619141.205010256;6881317.98046623
21064;788329.905156506;6373035.9324254
2963;939785.176158536;6563889.50251631
2963;939785.176158536;6563889.50251631
2973;353806.841540632;6778992.47397763
2994;770958.328899286;6349857.95745573
3007;544336.733768867;6435582.86907683
3013;531673.441027909;6642999.04732732
3034;632891.824814824;6853164.29281331
21048;355478.652910178;6792106.89181189
3056;655454.713416537;6688677.60660952
21121;766220.6569604;6275489.29649703
3076;544343.532629132;6435590.70572529
3080;868964.658447607;6636840.6012977
21190;351649.046573269;6801560.07727467
3092;351358.200114852;6800543.89333111
3092;351358.200114852;6800543.89333111
3092;351358.200114852;6800543.89333111
3092;351358.200114852;6800543.89333111
3092;351358.200114852;6800543.89333111
3092;351358.200114852;6800543.89333111
3092;351358.200114852;6800543.89333111
21230;927290.512514926;6500585.85940927
3191;351566.799952708;6800722.11011977
3193;351568.768599274;6800728.36059663
3212;561325.165343489;6928063.96815824
21335;935314.916522713;6535289.19781712
3221;351569.442667022;6800719.56498417
3221;351569.442667022;6800719.56498417
21369;653038.823846199;6860540.55960593
3242;351323.07571803;6800497.03182294
3242;351323.07571803;6800497.03182294
3249;1232610.36393498;6183912.23894258
3249;1232610.36393498;6183912.23894258
3249;1232610.36393498;6183912.23894258
3249;1232610.36393498;6183912.23894258
21398;350973.214714394;6801108.90918643
21441;1176219.91488638;6175083.46936267
3283;351431.11451876;6800461.14739883
3283;351431.11451876;6800461.14739883
3308;561200.288452904;6928131.05067328
3317;351563.179826592;6800735.06082109
3320;830979.541073895;6394659.42903943
3330;1190611.00817219;6080474.20407024
3330;1190611.00817219;6080474.20407024
3342;351568.418041188;6800729.17741251
3356;1180865.4697369;6109264.9466596
3359;1182299.39222451;6109830.15311558
3362;770936.780286273;6349593.2033696
3362;770936.780286273;6349593.2033696
3362;770936.780286273;6349593.2033696
3362;770936.780286273;6349593.2033696
3362;770936.780286273;6349593.2033696
3389;1181848.01157365;6108211.3778052
3390;356509.276906836;6822669.12205909
3390;356509.276906836;6822669.12205909
3390;356509.276906836;6822669.12205909
3390;356509.276906836;6822669.12205909
3398;977001.377466128;6513823.44634593
3398;977001.377466128;6513823.44634593
3398;977001.377466128;6513823.44634593
3399;351053.009438305;6800707.73733741
3399;351053.009438305;6800707.73733741
3399;351053.009438305;6800707.73733741
3410;863953.064964003;6641944.64169829
3410;863953.064964003;6641944.64169829
3419;619217.066353215;6881103.30457935
3419;619217.066353215;6881103.30457935
3647;348853.379930921;6799540.46000565
3428;683647.588621662;6803493.47029016
3432;683707.893524867;6803314.92225458
3432;683707.893524867;6803314.92225458
3432;683707.893524867;6803314.92225458
3433;350774.413444385;6800360.18193658
3433;350774.413444385;6800360.18193658
3433;350774.413444385;6800360.18193658
3433;350774.413444385;6800360.18193658
3433;350774.413444385;6800360.18193658
3452;941790.784116726;6564905.75093269
3459;350772.095315491;6800321.31528689
3459;350772.095315491;6800321.31528689
3459;350772.095315491;6800321.31528689
3459;350772.095315491;6800321.31528689
3459;350772.095315491;6800321.31528689
3459;350772.095315491;6800321.31528689
3461;656887.347920251;6863397.46415245
3468;1181554.05812787;6109322.69131222
3468;1181554.05812787;6109322.69131222
3472;665733.399141715;6880894.02020894
3473;544421.537762363;6435592.33611314
3480;544383.164604881;6435562.74376905
3480;544383.164604881;6435562.74376905
3480;544383.164604881;6435562.74376905
3487;1220718.7565893;6053792.86756282
3487;1220718.7565893;6053792.86756282
21702;824257.042821294;6402721.2201517
3527;333413.335910848;6854019.10538486
3527;333413.335910848;6854019.10538486
3527;333413.335910848;6854019.10538486
3527;333413.335910848;6854019.10538486
5830;824154.545026027;6402599.25817658
3532;1220737.45793896;6053869.19876742
3532;1220737.45793896;6053869.19876742
3532;1220737.45793896;6053869.19876742
3532;1220737.45793896;6053869.19876742
3539;658132.877794979;6873753.9818788
3539;658132.877794979;6873753.9818788
3539;658132.877794979;6873753.9818788
3542;1220842.5983936;6053796.34250582
3545;915507.264929516;6485793.95368396
3555;351546.895323599;6800736.42794754
3555;351546.895323599;6800736.42794754
3555;351546.895323599;6800736.42794754
3555;351546.895323599;6800736.42794754
3555;351546.895323599;6800736.42794754
3562;351567.13726492;6800741.19292648
3562;351567.13726492;6800741.19292648
3565;629005.387612777;6887657.9726332
3565;629005.387612777;6887657.9726332
3565;629005.387612777;6887657.9726332
3565;629005.387612777;6887657.9726332
3565;629005.387612777;6887657.9726332
3565;629005.387612777;6887657.9726332
3565;629005.387612777;6887657.9726332
3565;629005.387612777;6887657.9726332
3568;351629.325915721;6794477.41575183
3568;351629.325915721;6794477.41575183
3568;351629.325915721;6794477.41575183
3585;366788.24714645;6891999.80776016
3596;824184.536582495;6402672.70090466
3596;824184.536582495;6402672.70090466
3604;915372.595780516;6485528.24047815
3604;915372.595780516;6485528.24047815
3604;915372.595780516;6485528.24047815
3605;351443.876231867;6794459.95593124
3605;351443.876231867;6794459.95593124
3605;351443.876231867;6794459.95593124
3605;351443.876231867;6794459.95593124
3610;658097.07415104;6873760.11645679
3610;658097.07415104;6873760.11645679
3612;351379.861301207;6794461.97038396
3612;351379.861301207;6794461.97038396
3612;351379.861301207;6794461.97038396
21875;890198.107338802;6615035.24799024
21905;888361.466690837;6537104.11865614
3621;634680.234682762;6861072.27375773
21905;888361.466690837;6537104.11865614
3623;640430.283545729;6685708.86307622
3624;348853.077228743;6799542.07047022
3624;348853.077228743;6799542.07047022
3628;638214.213786319;6674245.48780061
3647;348853.379930921;6799540.46000565
21951;826000.757376376;6404599.09643
3650;413743.044264168;6415509.12187235
3650;413743.044264168;6415509.12187235
3650;413743.044264168;6415509.12187235
3650;413743.044264168;6415509.12187235
3650;413743.044264168;6415509.12187235
3651;939832.268285146;6564704.11064353
3651;939832.268285146;6564704.11064353
3651;939832.268285146;6564704.11064353
3651;939832.268285146;6564704.11064353
3651;939832.268285146;6564704.11064353
3651;939832.268285146;6564704.11064353
3654;818839.017747512;6440754.74930492
3655;349025.771312407;6799565.55429302
3655;349025.771312407;6799565.55429302
3660;632576.856304922;6899468.74757046
3663;914738.875076389;6484587.51153262
3663;914738.875076389;6484587.51153262
3679;619206.16955544;6881109.71689635
3679;619206.16955544;6881109.71689635
3679;619206.16955544;6881109.71689635
3680;594350.190287939;6838502.12131383
3682;455595.217769361;6236481.54315055
3682;455595.217769361;6236481.54315055
3697;856649.301080493;6503428.32728537
3712;350508.695438843;6801342.32353486
3712;350508.695438843;6801342.32353486
3712;350508.695438843;6801342.32353486
22038;346856.634050167;6787623.2265343
3715;543297.012441562;6197768.85975583
3717;350528.595066227;6801411.57128798
3905;350780.728409403;6791967.05194215
3727;419617.724518759;6409250.57312826
22071;832644.402823843;6393443.68962457
3728;352590.255556972;6790877.4208418
3728;352590.255556972;6790877.4208418
3733;352442.574673924;6790868.23251164
3733;352442.574673924;6790868.23251164
3733;352442.574673924;6790868.23251164
3733;352442.574673924;6790868.23251164
3741;456028.486848503;6235810.16228288
3752;824277.388068691;6402624.78093736
3752;824277.388068691;6402624.78093736
3752;824277.388068691;6402624.78093736
3760;384468.903306549;6552159.14909522
3761;351763.278849943;6800924.92614774
3761;351763.278849943;6800924.92614774
3761;351763.278849943;6800924.92614774
3766;818836.562084571;6440750.28234015
22132;1040127.98922169;6735323.18159707
22173;830977.535972956;6394657.58453059
3783;351841.894317274;6801025.31162095
3783;351841.894317274;6801025.31162095
3783;351841.894317274;6801025.31162095
3783;351841.894317274;6801025.31162095
3783;351841.894317274;6801025.31162095
3783;351841.894317274;6801025.31162095
22197;827624.423742702;6403601.29450863
3813;544349.166704578;6435589.7219148
22230;835788.810017306;6399463.46503329
22283;1042233.71788897;6734530.46130206
3834;544338.172060925;6435572.71922235
3834;544338.172060925;6435572.71922235
3843;350557.005735751;6801626.74832234
3854;350541.45267097;6801667.07118268
22284;1039595.98961135;6737897.56684579
3860;1222490.77631401;6052809.68507266
3860;1222490.77631401;6052809.68507266
3860;1222490.77631401;6052809.68507266
3860;1222490.77631401;6052809.68507266
3860;1222490.77631401;6052809.68507266
3860;1222490.77631401;6052809.68507266
22284;1039595.98961135;6737897.56684579
3867;544380.692382668;6435615.06045233
3867;544380.692382668;6435615.06045233
3871;660950.703878202;6857889.50418177
22283;1042233.71788897;6734530.46130206
3892;350869.151978886;6791854.17137582
3892;350869.151978886;6791854.17137582
3892;350869.151978886;6791854.17137582
3892;350869.151978886;6791854.17137582
22346;867963.311886774;6633595.38260047
3905;350780.728409403;6791967.05194215
3907;574506.874192582;6988427.92149745
3907;574506.874192582;6988427.92149745
3907;574506.874192582;6988427.92149745
3907;574506.874192582;6988427.92149745
3907;574506.874192582;6988427.92149745
3919;824526.616108681;6402972.57863153
3927;634554.303967256;6866997.22214846
3927;634554.303967256;6866997.22214846
3927;634554.303967256;6866997.22214846
3931;867304.005220467;6483145.29177147
3931;867304.005220467;6483145.29177147
3939;790626.660757556;6911645.02335681
22430;824317.86619508;6402606.08574448
22446;632584.65384175;6899471.761632
3964;615793.121295522;7028309.97097212
3964;615793.121295522;7028309.97097212
3969;351783.730134712;6800134.49849626
3979;351786.818187822;6800132.72279515
3979;351786.818187822;6800132.72279515
4046;939772.956649455;6564631.61936895
3979;351786.818187822;6800132.72279515
4008;1000586.86327098;6893031.92252023
4008;1000586.86327098;6893031.92252023
22531;311477.316322042;6721403.89637775
4012;766968.203094828;6276437.58381453
4031;900386.655688354;6585338.72632695
4032;351551.72188937;6800703.50653339
4032;351551.72188937;6800703.50653339
4032;351551.72188937;6800703.50653339
4032;351551.72188937;6800703.50653339
4040;544375.053096011;6435636.78221626
4042;824156.252514291;6402598.02148174
4046;939772.956649455;6564631.61936895
4061;351551.415067679;6800698.35106828
4061;351551.415067679;6800698.35106828
4061;351551.415067679;6800698.35106828
4061;351551.415067679;6800698.35106828
4061;351551.415067679;6800698.35106828
4061;351551.415067679;6800698.35106828
4064;351546.618331573;6800698.23856352
4077;351549.379058144;6800697.6762813
4088;1036011.44030176;6721772.60122016
4089;1033582.59264262;6720808.20809922
4091;351545.846411248;6800698.68248325
4091;351545.846411248;6800698.68248325
4091;351545.846411248;6800698.68248325
4091;351545.846411248;6800698.68248325
4091;351545.846411248;6800698.68248325
4097;627469.687338312;6871022.81673227
4097;627469.687338312;6871022.81673227
4100;351552.073124803;6800749.65097843
4100;351552.073124803;6800749.65097843
4107;347647.618195795;6801000.83995875
4107;347647.618195795;6801000.83995875
4107;347647.618195795;6801000.83995875
4107;347647.618195795;6801000.83995875
4107;347647.618195795;6801000.83995875
4107;347647.618195795;6801000.83995875
4108;619126.38370696;6881296.27925145
4119;347483.596487685;6800961.76061226
4119;347483.596487685;6800961.76061226
4119;347483.596487685;6800961.76061226
22730;614258.668537314;6384033.33258523
4135;351549.965633644;6800700.82520369
4135;351549.965633644;6800700.82520369
4141;350984.777515118;6800627.82935426
4141;350984.777515118;6800627.82935426
4141;350984.777515118;6800627.82935426
4141;350984.777515118;6800627.82935426
4152;774728.706627917;6344599.70212258
4152;774728.706627917;6344599.70212258
4154;356520.612585152;6822709.6868047
4154;356520.612585152;6822709.6868047
4154;356520.612585152;6822709.6868047
4154;356520.612585152;6822709.6868047
4167;778215.205661452;6340423.49464952
4176;356498.939387773;6822665.76616734
4176;356498.939387773;6822665.76616734
4186;900693.754091438;6573406.8634694
4187;594161.946141037;6577606.43511041
4187;594161.946141037;6577606.43511041
22943;611816.304514762;6379272.87016101
4205;354501.540004065;6795206.68910248
4205;354501.540004065;6795206.68910248
4205;354501.540004065;6795206.68910248
4213;916689.024918068;6486666.83184756
4330;353793.289480938;6779010.64696458
4330;353793.289480938;6779010.64696458
4375;937436.894497389;6576407.04037915
4330;353793.289480938;6779010.64696458
4330;353793.289480938;6779010.64696458
4330;353793.289480938;6779010.64696458
4330;353793.289480938;6779010.64696458
4330;353793.289480938;6779010.64696458
4334;624590.16666212;6361728.89639349
4334;624590.16666212;6361728.89639349
4375;937436.894497389;6576407.04037915
23041;621720.276117857;6390225.58929261
4365;818792.10918771;6440728.38479951
4365;818792.10918771;6440728.38479951
4384;996825.660601709;6318947.63384164
4384;996825.660601709;6318947.63384164
4384;996825.660601709;6318947.63384164
