collection;rayon;espece_fleur;nb_insecte;nb_espece_insecte;nb_famille_insecte;nb_ordre_insecte;log_nb_insecte;log_nb_espece_insecte;log_nb_famille_insecte;log_nb_ordre_insecte;UA_code_2018_simp;ville;part_dist_centre;bn;bd;bh;bc;bf;bam;bastd;bw;bhw;oso_1;oso_2;oso_3;oso_4;oso_5;oso_6;oso_7;oso_8;oso_9;oso_10;oso_12;oso_13;oso_14;oso_15;oso_16;oso_17;oso_18;oso_19;oso_20;oso_21;oso_23;OSO_F1;OSO_F2;OSO_F3;OSO_F4;log_p11100;log_p11210;log_p11220;log_p11230;log_p11240;log_p11300;log_p12100;log_p12220;log_p13400;log_p14100;log_p14200;log_p21000;log_p23000;log_p31000;log_p50000;UA_F1;UA_F2;UA_F3;UA_F4
14947;500;Buddleja_davidii;19;19;10;6;1,301029996;1,301029996;1,041392685;0,84509804;11230;Saint_nazaire;1,253563823;778;0,10870145;0,56086203;0,666068956;0,05405861;176,5411062;347,1648105;0,474470145;1,182080761;0,000768875;0,445819142;0,106232845;0;0,000128146;0;0;0;0;0;0;0,121097755;0,00089702;0;0,05394937;0,07637488;0,141729224;0,049848705;0,000512583;0,001537749;0,00089702;2,015;3,769;-2,581;-1,997;0;0,648148964;1,308463051;1,670770236;0;0;0,834218046;0,903253985;0;0,113146097;0,922569386;0;0,879346181;0,666815218;0;0,689723502;1,522142899;1,631564694;-0,393447771
58334;500;Daucus_sp;3;3;3;3;0,602059991;0,602059991;0,602059991;0,602059991;14100;Paris;0,171861105;1478;0,150428823;0,915941713;0,576363268;0,092670367;184,9442521;304,5109921;0,385014898;2,37897733;0,007048017;0,491182746;0,384437317;0,000512583;0;0;0;0;0;0;0;0,010764245;0;0;0,099825557;0,006791726;0;0;0;0;0;4,227;-0,672;0,639;-2,141;0,68252609;1,353567516;0,936386212;0;0;0;1,267816369;0,760290516;0;1,595209893;0,824665849;0;0;0;0;3,017517512;-0,375579958;0,155126632;-0,385924749
58337;500;Achillea_millefolium;7;6;5;4;0,903089987;0,84509804;0,77815125;0,698970004;14100;Paris;0,173038358;1231;0,142667545;0,926920772;0,64134241;0,077592103;180,5446221;300,26289;0,408249837;2,270474324;0,003972519;0,507329113;0,369572408;0,000512583;0;0;0;0;0;0;0;0,003203644;0;0;0,109052052;0,006535434;0;0;0;0;0;3,989;-0,630;0,608;-2,155;0;1,501475787;1,024202482;0;0;0;1,22223926;0,735794413;0;1,601342653;0;0;0;0;0;1,834578051;0,131962805;-0,775374943;-0,974780711
58357;500;Daucus_sp;24;19;14;5;1,397940009;1,301029996;1,176091259;0,77815125;11220;Rennes;0,175078999;314;0,048008884;0,262736886;0,653210797;0,043575856;205,9598708;288,4065151;0,591911465;0,44387869;0;0,301527002;0,056768577;0;0;0,040750356;0;0;0;0,38072109;0;0,105463971;0,001665895;0,000768875;0,062406991;0,047798373;0;0;0;0;0,001922187;-0,555;1,475;0,948;-0,579;0;1,309986088;1,092164606;0,858974607;0;0;0,265885588;0,921732326;0;0,146826157;0;1,617982881;1,154181134;0;0;0,007139834;1,889366455;-1,101548015;-0,723906057
58365;500;Mentha_suaveolens;17;17;13;8;1,255272505;1,255272505;1,146128036;0,954242509;21000;Montpellier;0,228153763;395;0,06058965;0,305979387;0,538283775;0,049191455;204,1815469;385,0130065;0,562410227;0,544050183;0,002050332;0,168511691;0,230918682;0,000128146;0;0,001537749;0;0;0;0;0;0,142241807;0,091111644;0,027423195;0,204264361;0,000384437;0,12519842;0,00422881;0,001281458;0,000384437;0,00089702;1,241;3,271;-3,198;-0,848;0;0,217754073;0;0;0;0;1,307340524;0,705217773;0;0;0,925986278;1,558378705;0;1,399262972;0;-0,466995406;-1,028709941;1,008389557;-1,0331259
58371;500;Daucus_sp;8;7;6;3;0,954242509;0,903089987;0,84509804;0,602059991;14100;Paris;0,438734603;1352;0,112549093;0,575874791;0,626540362;0,111482042;105,3678081;177,8037151;0,296600519;1,941583891;0;0,727355404;0,098672245;0,000512583;0,027166904;0,031908297;0,00089702;0;0;0,08214144;0,000640729;0,020118886;0;0;0,009739079;0,000256292;0;0;0;0;0;1,512;-0,928;4,120;-0,928;0,008427118;1,268770647;1,779724632;0;0;0;0;0,988641392;0;1,147400097;0;0,248734555;0;0;0;1,910675318;0,866268761;-1,10965057;-1,22723801
58374;500;Daucus_sp;3;3;2;3;0,602059991;0,602059991;0,477121255;0,602059991;14100;Paris;0,438374104;1344;0,110644521;0,566798128;0,627959887;0,110271602;107,1733666;159,8575937;0,293058629;1,934077594;0;0,718000763;0,09213681;0,000512583;0,028832799;0,034727504;0,00089702;0;0;0,096750058;0,000640729;0,01909372;0;0;0,008457621;0,000256292;0;0;0;0;0;1,432;-0,873;4,211;-0,950;0,002213467;1,307812648;1,74473594;0;0;0;0;0,997227515;0;1,147400097;0;0,653948687;0;0;0;1,89811347;0,926406206;-1,178262745;-1,258017205
58376;500;Jacobaea_vulgaris;7;7;6;4;0,903089987;0,903089987;0,84509804;0,698970004;14200;Paris;0,438619002;1187;0,111529014;0,708367812;0,629214587;0,078787116;125,7066553;319,8672577;0,479186492;1,478271664;0,000256292;0,579218891;0,25552267;0;0,000128146;0,000768875;0;0;0;0;0;0,018837429;0;0;0,057409306;0,018965574;0;0;0;0;0,068557988;2,680;-0,203;1,100;-2,342;0,38932962;0,396849518;1,558622124;0,513139129;0;0;1,013437156;1,109528895;0;1,236583004;1,056000785;0;0;0;1,085072129;2,968232124;0,279839459;1,467685266;-0,044145616
58386;500;Daucus_sp;3;3;3;2;0,602059991;0,602059991;0,602059991;0,477121255;12100;Paris;0,095398245;1484;0,204446489;1,875497801;0,430897294;0,084240083;313,9233515;666,6128411;0,368663646;5,087287079;0,169793148;0,299220379;0,456583387;0,004869539;0;0,002306624;0;0;0;0;0,000128146;0,006279143;0;0;0,058562618;0,001922187;0;0;0;0;0,000384437;4,834;-2,151;0,274;-0,918;0,801929777;0,85572759;0,688887058;0;0;0;1,470695868;0,90626471;0;1,555917277;1,157730328;0;0;0;0;3,341179969;-0,760599691;0,540407541;-0,01730101
58407;500;Mentha_suaveolens;4;4;3;1;0,698970004;0,698970004;0,602059991;0,301029996;11100;Paris;0,056134801;1759;0,442947798;7,080322933;0,160893619;0,096257826;1457,462801;2318,215451;0,077243185;91,66275184;0,495155265;0,188502431;0,311137935;0,004869539;0;0;0;0;0;0;0;0;0;0;0,000128146;0,000256292;0;0;0;0;0;6,040;-2,179;-0,014;-0,621;1,92760749;0;0;0;0;0;0,310377256;1,159596953;0;0,348481872;0;0;0;0;0;2,085446002;-1,784398674;0,227257717;0,090511882
58418;500;Daucus_sp;18;11;8;3;1,278753601;1,079181246;0,954242509;0,602059991;12220;Rennes;0,144377808;343;0,079375322;0,478491648;0,741479841;0,036556908;273,3363191;617,2653743;0,60653733;0,788890682;0;0,34676246;0,18247958;0,001153312;0,000640729;0,126736169;0,00089702;0;0,001281458;0,081757003;0;0,210799796;0,000128146;0,005894706;0,037162274;0,00333179;0,00089702;0;0;0;0;-0,332;0,630;1,156;2,794;0,600364764;0,598777202;0,014968819;0;0,155560581;0;1,428442194;1,042197242;0;0;0;1,574215697;1,303551508;0;0;0,558072402;0,221356525;-1,148861758;1,911093818
58423;500;Daucus_sp;25;19;14;4;1,414973348;1,301029996;1,176091259;0,698970004;23000;Rennes;0,336411096;790;0,113057482;0,629493345;0,82213927;0,062729556;151,5493711;134,2436504;0,343340762;1,833436093;0;0,497461888;0,171459043;0,000128146;0,001281458;0,111486822;0;0;0;0,096750058;0;0,110717947;0;0,002178478;0,004741394;0,00422881;0;0;0;0;0;1,138;0,881;3,859;-0,474;0;1,590326859;1,586146292;0;0,565908079;0;0,120116377;0,785451561;0;0;0;0,883180783;1,00537865;0;0;-0,342459997;2,065605203;-1,523049738;0,659160927
58445;500;Achillea_millefolium;3;2;1;2;0,602059991;0,477121255;0,301029996;0,477121255;11100;Paris;0,056153499;1759;0,443107992;7,085118241;0,160796242;0,096201126;1457,293684;2318,313424;0,077103293;91,89125387;0,495539702;0,188630577;0,310881644;0,004869539;0;0;0;0;0;0;0;0;0;0;0,000128146;0,000128146;0;0;0;0;0;6,045;-2,198;0,000;-0,621;1,927436371;0;0;0;0;0;0,310377256;1,16059862;0;0,348481872;0;0;0;0;0;2,085279584;-1,783427252;0,227176704;0,090147887
58452;500;Buddleja_davidii;9;6;3;4;1;0,84509804;0,602059991;0,698970004;11210;Tours;0,129373207;564;0,074928271;0,326384052;0,84323035;0,038786778;139,7821171;178,3955678;0,597373846;0,546364817;0,000128146;0,449663515;0,16761467;0,028448361;0,003972519;0,009610933;0,001665895;0;0,001537749;0,000128146;0;0,171074606;0,000256292;0,000768875;0,127248752;0,033446047;0,003588082;0,000512583;0;0;0;-0,421;1,648;0,270;1,225;0;1,568245473;0,925099217;0,770990465;0;0;0,982002591;0,958161769;0;1,407896065;0,248935625;0;1,000469616;0;0;1,930209476;1,310469027;0,264317779;-0,177608773
58456;500;Buddleja_davidii;4;4;4;3;0,698970004;0,698970004;0,698970004;0,602059991;14100;Paris;0,617523272;485;0,04802736;0,204346607;0,586255505;0,072603757;133,3178975;181,5797262;0,525327263;0,388989154;0;0,300886274;0,105592116;0;0,017427825;0,265005457;0;0;0;0,048951685;0;0,16761467;0;0;0,089702041;0,004741394;0;0;0;0;0;-1,000;-0,346;3,008;-1,820;0;1,287706254;1,411107362;0,701048642;0;0;0,476732285;0,686689968;0,508386809;0,299298077;0;1,626665347;0;0,441970116;0;-0,126319151;2,909614284;1,181777798;-1,861886731
